comment_id,similerity_content,similerity_commemt,wordCount,wordRedundantRatio,noOfSentences,lengthOfComment,numberOfPunctuations,stopWordRatio,post_coment_gap,is_black_word,linkMailLinkAvailable,comment_duplication
UgyBFxefBnIYn8TKh814AaABAg,0.029964782151335537,0.1609081045421326,3,0.0,1,23,0,0.0,25.283333333333335,0,0,0
UgyN7drYIsp91fapWSt4AaABAg,0.17626109102717677,0.27628462913046253,12,0.0,1,60,0,0.16666666666666666,22.283333333333335,0,0,0
UgywDlXF33PigyUeQkV4AaABAg,0.09910516570101909,0.2096893326865656,5,0.19999999999999996,1,24,0,0.0,21.933333333333334,0,0,0
UgyM9h87Fr73NCPzTSN4AaABAg,0.08598563219921598,0.2232289256458535,3,0.0,1,18,0,0.0,19.8,0,0,0
UgxDRDFRDxjZU6KnFh94AaABAg,0.12565200665650733,0.27584525179726993,17,0.05882352941176472,2,92,0,0.0,20.116666666666667,0,0,0
UgxPGADavkSA1rVOJot4AaABAg,0.10317177902337915,0.25479649467393867,8,0.0,1,40,0,0.0,18.733333333333334,0,0,0
UgzTB0wadkbqWNjWWIJ4AaABAg,0.1893694253458703,0.25943947282907565,3,0.0,1,22,0,0.0,17.983333333333334,1,0,0
UgxCk3drxHNO1tvy_1t4AaABAg,0.2596769384119739,0.2934847323880121,22,0.045454545454545414,1,123,1,0.09090909090909091,16.733333333333334,1,0,0
UgyWkFxjvoMqxfosW454AaABAg,0.3809731291433241,0.32020817236071464,10,0.0,1,58,0,0.0,16.266666666666666,0,0,0
Ugzc3MnJTV-OfTfjjvd4AaABAg,0.12833065534684832,0.2724402650123123,9,0.0,1,43,0,0.0,11.816666666666666,0,0,0
Ugx-oDGx7VU2WqmEKHh4AaABAg,0.16569660968043518,0.3007752261764485,5,0.0,2,38,1,0.0,9.383333333333333,0,0,0
UgyVCnYqrA9cedUHzkd4AaABAg,0.22056304225206638,0.31895773975894404,12,0.08333333333333337,1,62,0,0.08333333333333333,7.316666666666666,1,0,0
UgxoKdS4mkZwo6ZXxFJ4AaABAg,0.18710971654998876,0.21153800969547243,3,0.0,1,18,0,0.0,6.883333333333334,0,0,0
UgwHF9hr_1ARCUY1sjZ4AaABAg,0.18603336079454977,0.26087714576809146,9,0.0,1,49,0,0.0,4.933333333333334,0,0,0
Ugz_8e1TqfrhHOG-JGF4AaABAg,0.18085018151898527,0.2568246480871301,8,0.0,1,45,0,0.0,4.766666666666667,0,0,0
UgyfhKK3kpX0VoTjTup4AaABAg,0.34131008511597627,0.3935960157939248,25,0.12,3,151,0,0.04,4.916666666666667,1,0,0
UgxISbrPftV-5BNDUGN4AaABAg,0.005074610784973775,0.1728427353950742,2,0.0,1,8,0,0.0,3.7333333333333334,0,0,0
UgzFpyuDviUsqWXMQ2x4AaABAg,0.12770365561717956,0.18077751153812893,3,0.0,1,20,0,0.0,3.533333333333333,0,0,0
UgzLUVUY5V28Ni9288l4AaABAg,0.0952901618937803,0.2381858544461209,10,0.09999999999999998,2,63,0,0.0,3.466666666666667,0,0,0
UgxGvjykaNAsYlAS-n14AaABAg,0.12255422061533709,0.24731064056019506,3,0.0,1,17,0,0.3333333333333333,2.5166666666666666,0,0,0
UgxfbX2oeAL1nt3C3r14AaABAg,0.051844289785970464,0.23063667048937586,5,0.0,1,23,0,0.0,1.6833333333333333,1,0,0
